"","V1","V2","V3","V4","V5","V6"
"1",3,3,4,5,5,4
"2",4,4,5,6,6,5
"3",7,7,8,9,9,8
"4",8,8,9,10,10,9
"5",14,14,15,16,16,15
"6",15,15,16,17,17,16
"7",9,9,10,11,11,10
"8",13,13,14,15,15,14
"9",7,7,8,9,9,8
"10",18,18,19,20,20,19
"11",12,12,13,14,14,13
"12",5,5,6,7,7,6
"13",22,22,23,24,24,23
"14",4,4,5,6,6,5
"15",16,16,17,18,18,17
"16",2,2,3,4,4,3
"17",6,6,7,8,8,7
"18",9,9,10,11,11,10
"19",3,3,4,5,5,4
"20",7,7,8,9,9,8
"21",14,14,15,16,16,15
"22",6,6,7,8,8,7
"23",5,5,6,7,7,6
"24",17,17,18,19,19,18
"25",8,8,9,10,10,9
"26",11,11,12,13,13,12
"27",21,21,22,23,23,22
"28",6,6,7,8,8,7
"29",14,14,15,16,16,15
"30",13,13,14,15,15,14
"31",10,10,11,12,12,11
"32",13,13,14,15,15,14
"33",19,19,20,21,21,20
"34",19,19,20,21,21,20
"35",11,11,12,13,13,12
"36",23,23,24,25,25,24
"37",18,18,19,20,20,19
"38",11,11,12,13,13,12
"39",20,20,21,22,22,21
"40",12,12,13,14,14,13
"41",24,24,25,26,26,25
"42",4,4,5,6,6,5
"43",15,15,16,17,17,16
"44",17,17,18,19,19,18
"45",9,9,10,11,11,10
"46",5,5,6,7,7,6
"47",12,12,13,14,14,13
"48",10,10,11,12,12,11
"49",10,10,11,12,12,11
"50",8,8,9,10,10,9
"51",15.375,15.375,16.375,17.375,17.375,16.375
"52",17.375,17.375,18.375,19.375,19.375,18.375
"53",33.875,33.875,34.875,35.875,35.875,34.875
"54",27.875,27.875,28.875,29.875,29.875,28.875
"55",25.875,25.875,26.875,27.875,27.875,26.875
"56",29.875,29.875,30.875,31.875,31.875,30.875
"57",38.875,38.875,39.875,40.875,40.875,39.875
"58",39.875,39.875,40.875,41.875,41.875,40.875
"59",30.875,30.875,31.875,32.875,32.875,31.875
"60",24.875,24.875,25.875,26.875,26.875,25.875
"61",34.875,34.875,35.875,36.875,36.875,35.875
"62",33.875,33.875,34.875,35.875,35.875,34.875
"63",37.875,37.875,38.875,39.875,39.875,38.875
"64",25.875,25.875,26.875,27.875,27.875,26.875
"65",28.875,28.875,29.875,30.875,30.875,29.875
"66",27.875,27.875,28.875,29.875,29.875,28.875
"67",40.875,40.875,41.875,42.875,42.875,41.875
"68",36.875,36.875,37.875,38.875,38.875,37.875
"69",41.875,41.875,42.875,43.875,43.875,42.875
"70",42.875,42.875,43.875,44.875,44.875,43.875
"71",30.875,30.875,31.875,32.875,32.875,31.875
"72",32.875,32.875,33.875,34.875,34.875,33.875
"73",36.875,36.875,37.875,38.875,38.875,37.875
"74",22.875,22.875,23.875,24.875,24.875,23.875
"75",23.875,23.875,24.875,25.875,25.875,24.875
"76",27.875,27.875,28.875,29.875,29.875,28.875
"77",26.875,26.875,27.875,28.875,28.875,27.875
"78",31.875,31.875,32.875,33.875,33.875,32.875
"79",26.875,26.875,27.875,28.875,28.875,27.875
"80",28.875,28.875,29.875,30.875,30.875,29.875
"81",35.875,35.875,36.875,37.875,37.875,36.875
"82",21.875,21.875,22.875,23.875,23.875,22.875
"83",9.375,9.375,10.375,11.375,11.375,10.375
"84",9.375,9.375,10.375,11.375,11.375,10.375
"85",7.375,7.375,8.375,9.375,9.375,8.375
"86",12.375,12.375,13.375,14.375,14.375,13.375
"87",8.375,8.375,9.375,10.375,10.375,9.375
"88",5.375,5.375,6.375,7.375,7.375,6.375
"89",11.375,11.375,12.375,13.375,13.375,12.375
"90",6.375,6.375,7.375,8.375,8.375,7.375
"91",10.375,10.375,11.375,12.375,12.375,11.375
"92",8.375,8.375,9.375,10.375,10.375,9.375
"93",10.375,10.375,11.375,12.375,12.375,11.375
"94",-12,-12,-11,-10,-10,-11
"95",-11,-11,-10,-9,-9,-10
"96",-13,-13,-12,-11,-11,-12
"97",-14,-14,-13,-12,-12,-13
"98",-11,-11,-10,-9,-9,-10
"99",-1,-1,0,1,1,0
"100",0,0,1,2,2,1
"101",1,1,2,3,3,2
"102",2,2,3,4,4,3
"103",-2,-2,-1,0,0,-1
"104",1,1,2,3,3,2
"105",-2,-2,-1,0,0,-1
"106",-1,-1,0,1,1,0
"107",-4,-4,-3,-2,-2,-3
"108",-2,-2,-1,0,0,-1
"109",0,0,1,2,2,1
"110",-5,-5,-4,-3,-3,-4
"111",-6,-6,-5,-4,-4,-5
"112",-2,-2,-1,0,0,-1
"113",-2,-2,-1,0,0,-1
"114",-5,-5,-4,-3,-3,-4
"115",-1,-1,0,1,1,0
"116",-2,-2,-1,0,0,-1
"117",-3,-3,-2,-1,-1,-2
"118",-3,-3,-2,-1,-1,-2
"119",-1,-1,0,1,1,0
"120",-4,-4,-3,-2,-2,-3
"121",2,2,3,4,4,3
"122",0,0,1,2,2,1
"123",-4,-4,-3,-2,-2,-3
"124",-3,-3,-2,-1,-1,-2
"125",1,1,2,3,3,2
"126",0,0,1,2,2,1
"127",0,0,1,2,2,1
"128",-3,-3,-2,-1,-1,-2
"129",-3,-3,-2,-1,-1,-2
"130",-4,-4,-3,-2,-2,-3
"131",1,1,2,3,3,2
"132",1,1,2,3,3,2
"133",3,3,4,5,5,4
"134",-1,-1,0,1,1,0
"135",-1,-1,0,1,1,0
"136",10.375,10.375,11.375,12.375,12.375,11.375
"137",14.375,14.375,15.375,16.375,16.375,15.375
"138",15.375,15.375,16.375,17.375,17.375,16.375
"139",14.375,14.375,15.375,16.375,16.375,15.375
"140",16.375,16.375,17.375,18.375,18.375,17.375
"141",12.375,12.375,13.375,14.375,14.375,13.375
"142",11.375,11.375,12.375,13.375,13.375,12.375
"143",11.375,11.375,12.375,13.375,13.375,12.375
"144",15.375,15.375,16.375,17.375,17.375,16.375
"145",11.375,11.375,12.375,13.375,13.375,12.375
"146",13.375,13.375,14.375,15.375,15.375,14.375
"147",13.375,13.375,14.375,15.375,15.375,14.375
"148",14.375,14.375,15.375,16.375,16.375,15.375
"149",12.375,12.375,13.375,14.375,14.375,13.375
"150",13.375,13.375,14.375,15.375,15.375,14.375
